监测时间,WS0202,WS0203,WS0204,WS0205,WS0206,WS0207,WS0208
2018/5/12,1.2,7.9,2.5,9.8,9.4,0.2,6.3
2018/5/13,1.3,8.0,2.5,9.3,10.4,0.1,6.3
2018/5/14,1.3,8.0,2.9,9.5,10.8,0.3,5.1
2018/5/15,1.6,8.3,2.9,9,10.6,0.3,4
2018/5/16,1.9,8.4,2.5,9.1,11.2,0.7,3.7
2018/5/17,1.9,8.4,1.9,9.1,11.2,0.7,3.7
2018/5/18,2.2,8.4,2.2,8.3,11.2,0.7,4.3
2018/5/19,2.1,8.7,2.2,8.7,11.2,0.7,4.9
2018/5/20,2.3,8.9,3.5,9.5,11.2,0.7,5.5
2018/5/21,2.7,8.7,3.2,8.9,11.2,0.7,5.4
2018/5/22,2.8,8.7,2.3,8.5,11.2,0.7,4.6
2018/5/23,2.3,8.9,2.8,7.6,11.2,0.7,4.8
2018/5/24,2.3,9.1,3.3,7.5,11.2,1.5,4.9
2018/5/25,2.2,8.9,4.2,9.1,10.8,1.2,5.4
2018/5/26,2,8.8,4.3,9.3,10.5,1.3,5.2
2018/5/27,1.3,8.8,4.2,8.5,10.2,0.9,5.9
2018/5/28,0.9,8.7,5,8.7,11.5,0.5,7
2018/5/29,1.4,9.4,5.1,8.4,11.4,1.3,5.9
2018/5/30,1.1,9.0,4.7,8.1,11,0.8,5.5
2018/5/31,1.3,8.7,4,8.3,11.2,0.6,5.7
2018/6/1,1.7,9.5,3.5,8.7,11.2,1,5.8
2018/6/2,1.4,9.5,3.7,8.7,11.3,0.7,5.9
2018/6/3,1.7,9.3,3.3,8.4,11.5,0.9,5.2
2018/6/4,2.1,9.3,3.7,8.8,11.8,1.2,5.2
2018/6/5,1.8,10.0,4.1,9.1,12.6,1.2,6.1
2018/6/6,1.8,10.4,4.3,9.3,12.2,1.1,5.6
2018/6/7,2,10.2,4,10.1,12.1,0.8,5.6
2018/6/8,2.2,10.0,4,10.1,12.5,0.6,6
2018/6/9,2.4,9.9,4.1,9.2,11.3,0.9,6
2018/6/10,2.7,9.9,3.8,9.6,11.5,1.2,5.7
2018/6/11,2.7,10.3,4.7,10.1,12.2,0.9,6.3
2018/6/12,2.7,9.8,4.9,8.7,11.7,1.5,5.3
2018/6/13,2.7,9.6,5.7,9,12.4,1.8,5.1
2018/6/14,2.9,8.9,6.2,9.2,12.2,1.8,5.5
2018/6/15,2.9,9.6,6.4,9.2,12.7,1.5,5.9
2018/6/16,2,10.0,6.5,9.5,12.3,0.8,5.9
2018/6/17,2.1,8.7,6.6,9.8,12,1.6,5.7
