Datetime,yandaoWD,chedaoWD,W
2014/3/29,-8.028108,-6.104828,-4.29
2014/3/30,-8.039644,-6.376588,-4.22
2014/3/31,-7.949372,-5.879608,-3.96
2014/4/1,-8.563874,-8.005586,-3.62
2014/4/2,-8.258302,-7.226624,-3.38
2014/4/3,-7.861146,-6.52704,-3.28
2014/4/4,-7.758638,-6.497406,-3.22
2014/4/5,-7.76819,-6.767182,-3.14
2014/4/6,-7.824434,-6.765168,-3.12
2014/4/7,-8.275574,-8.479706,-3.11
2014/4/8,-8.185944,-7.717102,-3.15
2014/4/9,-7.80591,-6.977112,-3.11
2014/4/10,-7.337036,-6.007844,-3.06
2014/4/11,-6.831116,-4.687714,-2.96
2014/4/12,-7.157838,-5.884156,-2.76
2014/4/13,-7.961762,-8.079286,-2.51
2014/4/14,-7.946016,-7.699586,-2.22
2014/4/15,-7.608644,-6.903168,-1.92
2014/4/16,-7.668244,-7.219604,-1.92
2014/4/17,-7.96753,-8.111726,-1.51
2014/4/18,-7.638092,-6.677644,-1.33
2014/4/19,-7.399506,-6.086732,-1.17
2014/4/20,-7.899782,-7.919282,-1.0
2014/4/21,-7.934632,-7.96051,-0.79
2014/4/22,-8.30597,-8.57364,-0.53
2014/4/23,-8.152986,-8.234466,-0.33
2014/4/24,-7.958832,-7.604034,-0.21
2014/4/25,-7.835846,-7.275758,-0.16
2014/4/26,-7.804536,-7.291504,-0.02
2014/4/27,-7.923036,-7.605164,0.09
2014/4/28,-7.572174,-6.966676,0.16
2014/4/29,-7.415436,-6.5495,0.15
2014/4/30,-7.085602,-6.094086,0.08
2014/5/1,-6.69632,-5.404694,0.04
2014/5/2,-6.154024,-4.390992,0.01
2014/5/3,-6.434816,-4.955628,-0.03
2014/5/4,-6.390718,-5.273408,-0.07
2014/5/5,-6.793184,-5.98996,-0.13
2014/5/6,-6.653168,-5.927246,-0.11
2014/5/7,-6.25766,-4.876344,-0.04
2014/5/8,-5.779602,-3.886932,0.04
2014/5/9,-5.33194,-2.971406,0.17
2014/5/10,-5.986818,-5.0589,0.17
2014/5/11,-6.20166,-5.264954,0.17
2014/5/12,-6.165894,-5.42514,0.91
2014/5/13,-5.734558,-4.284302,1.17
2014/5/14,-5.991426,-5.251526,1.43
2014/5/15,-6.079468,-5.170014,1.59
2014/5/16,-5.79709,-4.63321,1.73
2014/5/17,-5.6409,-4.497498,1.75
2014/5/18,-5.622254,-4.48224,1.77
2014/5/19,-5.436006,-3.999696,1.82
2014/5/20,-5.513124,-4.258362,1.87
2014/5/21,-5.010926,-3.194764,1.87
2014/5/22,-5.323732,-4.362092,1.83
2014/5/23,-4.640962,-2.672638,1.82
2014/5/24,-4.45923,-2.382874,1.85
2014/5/25,-4.229004,-2.180328,1.98
2014/5/26,-4.10074,-1.9599,2.12
2014/5/27,-4.165772,-2.180206,2.35
2014/5/28,-3.91678,-1.699676,2.66
2014/5/29,-3.484376,-0.83661,2.92
2014/5/30,-3.204744,-0.665314,3.09
2014/5/31,-3.135712,-0.752136,3.09
2014/6/1,-3.210542,-0.917664,3.1
2014/6/2,-3.400972,-1.49411,3.15
2014/6/3,-3.119782,-0.565766,3.11
2014/6/4,-3.279846,-1.40625,3.05
2014/6/5,-3.022096,-0.944184,3.06
2014/6/6,-2.554506,-0.134126,3.06
2014/6/7,-2.188936,0.317658,3.07
2014/6/8,-2.058594,0.851502,3.13
2014/6/9,-2.163758,0.273254,3.22
2014/6/10,-1.740938,1.05069,3.24
2014/6/11,-1.64676,1.044494,3.18
2014/6/12,-1.177614,2.025116,3.06
2014/6/13,-1.537752,1.068024,2.9
2014/6/14,-1.459688,1.170044,2.74
2014/6/15,-1.613862,0.659148,2.59
2014/6/16,-1.85553,-0.132996,2.41
2014/6/17,-2.189392,-0.624696,2.27
2014/6/18,-1.90152,-0.31598,2.12
2014/6/19,-1.69928,0.41153,1.98
2014/6/20,-1.217926,1.359466,1.8
2014/6/21,-1.163362,1.437592,1.61
2014/6/22,-1.726594,0.259704,1.61
2014/6/23,-1.473908,0.674438,1.81
2014/6/24,-1.480744,0.475982,2.19
2014/6/25,-1.68274,-0.01764,2.62
2014/6/26,-1.85547,-0.251862,2.91
2014/6/27,-2.385316,-1.50464,3.1
2014/6/28,-2.18686,-0.800384,3.16
2014/6/29,-2.005036,-0.473968,3.19
2014/6/30,-1.897492,-0.248444,3.22
2014/7/1,-1.979402,-0.400666,3.23
2014/7/2,-2.319856,-1.15912,3.25
2014/7/3,-2.018556,-0.441864,3.26
2014/7/4,-1.454866,0.692658,3.29
2014/7/5,-2.152954,-0.861114,3.61
2014/7/6,-2.319276,-1.171966,4.11
2014/7/7,-2.085022,-0.436462,4.46
2014/7/8,-1.614594,0.320618,4.69
2014/7/9,-1.204622,1.245574,4.71
2014/7/10,-0.91971,1.684844,4.76
2014/7/11,-0.549286,2.174224,4.8
2014/7/12,-0.535736,2.23413,4.81
2014/7/13,-1.364656,0.174866,4.86
2014/7/14,-1.360718,0.100586,4.95
2014/7/15,-1.325318,0.529938,5.05
2014/7/16,-1.327332,0.239562,5.15
2014/7/17,-1.280976,0.409606,5.42
2014/7/18,-1.637666,-0.443054,5.84
2014/7/19,-1.221956,0.950744,6.13
2014/7/20,-1.001374,1.136718,6.38
2014/7/21,-0.5029,1.991028,6.52
2014/7/22,-0.041504,2.813568,6.55
2014/7/23,0.423614,3.510772,6.49
2014/7/24,0.578398,3.57849,6.3
2014/7/25,0.464934,3.081024,6.17
2014/7/26,0.142546,2.571106,6.13
2014/7/27,0.23355,2.534058,6.04
2014/7/28,0.329254,2.680388,5.91
2014/7/29,0.64865,3.246124,5.76
2014/7/30,0.927336,3.760618,5.62
2014/7/31,1.36566,4.49542,5.43
2014/8/1,1.039032,3.441986,5.2
2014/8/2,0.85147,3.031708,4.94
2014/8/3,1.262176,4.05206,4.7
2014/8/4,1.065032,3.43335,4.48
2014/8/5,1.314574,3.873532,4.25
2014/8/6,1.495024,4.063046,4.0
2014/8/7,1.168182,3.491454,3.78
2014/8/8,0.52307,2.539306,3.5
2014/8/9,0.404266,1.675324,3.33
2014/8/10,0.040252,1.27777,3.25
2014/8/11,0.009582,1.463196,3.25
2014/8/12,-0.34317,1.154022,3.31
2014/8/13,-1.027314,-0.28183,3.46
2014/8/14,-1.222108,-0.943756,3.52
2014/8/15,-1.062928,-0.381806,3.57
2014/8/16,-0.558838,0.82898,3.59
2014/8/17,-0.786744,0.258788,3.6
2014/8/18,-0.53766,0.870026,3.57
2014/8/19,-0.890778,-0.008606,3.55
2014/8/20,-0.542482,0.685242,3.6
2014/8/21,-0.541932,0.642028,3.71
2014/8/22,-0.29236,1.452362,3.87
2014/8/23,0.093108,2.30191,3.99
2014/8/24,0.267944,2.098694,4.1
2014/8/25,-0.002686,1.82666,4.16
2014/8/26,0.158324,1.945252,4.2
2014/8/27,-0.769806,-0.250886,4.27
2014/8/28,-0.708252,0.333344,4.27
2014/8/29,-0.73877,0.162964,4.24
2014/8/30,-0.601076,0.7276,4.23
2014/8/31,-0.263336,0.768188,4.23
2014/9/1,-0.86075,-0.050538,4.23
2014/9/2,-0.967622,-0.12857,4.28
2014/9/3,-1.414796,-0.984742,4.32
2014/9/4,-1.185212,-0.430206,4.35
2014/9/5,-1.066498,-0.275544,4.43
2014/9/6,-0.805756,0.214904,4.47
2014/9/7,-0.569246,0.826538,4.42
2014/9/8,-0.178682,1.644164,4.37
2014/9/9,-0.332734,0.963928,4.29
2014/9/10,-0.217164,1.626312,4.2
2014/9/11,-0.227968,1.27945,4.15
2014/9/12,-0.098572,1.423156,4.15
2014/9/13,-0.737854,0.732146,4.04
2014/9/14,-1.144806,-0.702638,4.02
2014/9/15,-0.812074,0.630126,4.03
2014/9/16,-1.118654,-0.55948,4.03
2014/9/17,-1.004518,0.063476,4.15
2014/9/18,-1.364656,-0.980744,4.22
2014/9/19,-2.11966,-2.744476,4.11
2014/9/20,-1.990266,-2.005218,4.48
2014/9/21,-1.898682,-1.711732,4.69
2014/9/22,-1.467836,-0.267242,4.88
2014/9/23,-1.468202,-0.46631,5.04
2014/9/24,-1.385042,-0.387512,5.01
2014/9/25,-1.312868,-0.208222,4.84
2014/9/26,-1.150056,-0.039948,4.7
2014/9/27,-0.938172,0.190064,4.57
2014/9/28,-0.615326,1.089478,4.45
2014/9/29,-0.472352,0.985076,4.32
2014/9/30,-1.184144,-0.657594,4.19
2014/10/1,-1.233858,-0.923738,4.07
2014/10/2,-1.255768,-0.432008,3.97
2014/10/3,-1.425782,-0.983612,3.8
2014/10/4,-1.477876,-1.004272,3.58
2014/10/5,-1.273652,-0.479646,3.34
2014/10/6,-0.981232,-0.226288,3.08
2014/10/7,-1.63562,-1.568238,2.84
2014/10/8,-1.88559,-1.990906,2.6
2014/10/9,-1.868012,-1.919068,2.37
2014/10/10,-1.846406,-1.78302,2.13
2014/10/11,-1.926606,-1.600312,1.9
2014/10/12,-1.838472,-1.374878,1.68
2014/10/13,-2.043366,-1.79297,1.33
2014/10/14,-2.79532,-3.511688,1.05
2014/10/15,-2.927704,-3.814698,0.76
2014/10/16,-2.744446,-3.083374,0.45
2014/10/17,-2.770234,-3.111664,0.13
2014/10/18,-2.78882,-2.90683,-0.15
2014/10/19,-2.884888,-3.21634,-0.41
2014/10/20,-2.468506,-1.920868,-0.61
2014/10/21,-2.35486,-1.685638,-0.81
2014/10/22,-3.08304,-3.790162,-0.97
2014/10/23,-3.203584,-3.848328,-1.15
2014/10/24,-3.25943,-3.915222,-1.41
2014/10/25,-3.21512,-3.61911,-1.7
2014/10/26,-2.95688,-3.000184,-1.93
2014/10/27,-2.575074,-1.832978,-2.17
2014/10/28,-3.110108,-3.673462,-2.31
2014/10/29,-3.875032,-5.38144,-2.27
2014/10/30,-4.555452,-6.45874,-2.0
2014/10/31,-4.827516,-6.62433,-1.32
2014/11/1,-4.6886,-5.867096,-0.34
2014/11/2,-4.794648,-6.12027,0.26
2014/11/3,-5.44098,-7.10672,0.66
2014/11/4,-5.672334,-7.698274,0.98
2014/11/5,-5.604738,-7.285188,1.13
2014/11/6,-5.685274,-7.472534,1.15
2014/11/7,-5.555116,-6.84137,1.12
2014/11/8,-5.97989,-8.032196,1.11
2014/11/9,-6.303926,-8.398316,1.11
2014/11/10,-6.49234,-8.531434,0.99
2014/11/11,-6.52408,-8.383514,0.86
2014/11/12,-6.455598,-8.182862,0.73
2014/11/13,-6.509736,-7.95636,0.55
2014/11/14,-6.679048,-8.59842,0.37
2014/11/15,-6.857942,-8.683166,0.24
2014/11/16,-6.974824,-9.097688,-0.12
2014/11/17,-7.08078,-9.06366,-0.38
2014/11/18,-7.2847,-9.408234,-0.68
2014/11/19,-7.280458,-8.904846,-1.04
2014/11/20,-7.390656,-9.82193,-1.45
2014/11/21,-7.350922,-9.1745,-1.87
2014/11/22,-6.735718,-7.741608,-2.29
2014/11/23,-6.52115,-7.45337,-2.67
2014/11/24,-7.335694,-9.084808,-2.95
2014/11/25,-7.708864,-10.04358,-3.13
2014/11/26,-7.982788,-10.345856,-3.25
2014/11/27,-7.928712,-9.518464,-3.36
2014/11/28,-8.18976,-9.675018,-3.33
2014/11/29,-8.602296,-10.88144,-3.49
2014/11/30,-8.573182,-10.557434,-3.7
2014/12/1,-9.113434,-11.751678,-3.95
2014/12/2,-9.555452,-12.85321,-2.46
2014/12/3,-9.768434,-12.298218,-2.2
2014/12/4,-10.3284,-13.535614,-2.01
2014/12/5,-10.210756,-13.487092,-1.87
2014/12/6,-10.385498,-13.324584,-1.73
2014/12/7,-9.816194,-11.939788,-1.65
2014/12/8,-9.865296,-12.204132,-1.62
2014/12/9,-9.870728,-12.307038,-1.58
2014/12/10,-10.071748,-12.852662,-1.59
2014/12/11,-10.59601,-13.628266,-1.68
2014/12/12,-10.872284,-14.432312,-1.84
2014/12/13,-11.149842,-14.562256,-2.04
2014/12/14,-11.149568,-14.258666,-2.25
2014/12/15,-10.974214,-13.498474,-2.48
2014/12/16,-10.90027,-13.738526,-2.75
2014/12/17,-11.416352,-14.730132,-2.97
2014/12/18,-11.668824,-15.109924,-3.19
2014/12/19,-11.598938,-14.225098,-3.39
2014/12/20,-11.406892,-14.253326,-3.59
2014/12/21,-11.219118,-13.121888,-3.8
2014/12/22,-11.88971,-15.217102,-3.95
2014/12/23,-12.05307,-14.880096,-3.59
2014/12/24,-11.977082,-14.86203,-4.17
2014/12/25,-11.589508,-13.708068,-4.32
2014/12/26,-11.797882,-14.666778,-4.36
2014/12/27,-11.875184,-14.636414,-4.39
2014/12/28,-11.903474,-14.504058,-4.38
2014/12/29,-11.96524,-14.52539,-4.35
2014/12/30,-11.725892,-13.960022,-4.33
2014/12/31,-11.261078,-13.430146,-4.37
2015/1/1,-11.761566,-14.48407,-4.35
2015/1/2,-12.209198,-15.234284,-4.38
2015/1/3,-12.057954,-14.69867,-4.46
2015/1/4,-11.93271,-14.236694,-4.6
2015/1/5,-11.325928,-12.362702,-4.65
2015/1/6,-11.198152,-11.959228,-4.94
2015/1/7,-12.032776,-15.093994,-4.99
2015/1/8,-12.29065,-15.071778,-5.05
2015/1/9,-11.942352,-14.306366,-5.09
2015/1/10,-11.828888,-13.922638,-5.12
2015/1/11,-11.856568,-14.244782,-5.14
2015/1/12,-11.523866,-13.122192,-5.19
2015/1/13,-11.491822,-13.430114,-5.19
2015/1/14,-11.80307,-14.15799,-5.17
2015/1/15,-11.792116,-14.19992,-5.17
2015/1/16,-11.966064,-14.238922,-5.14
2015/1/17,-11.766724,-13.74652,-5.13
2015/1/18,-12.02359,-14.287658,-5.07
2015/1/19,-11.900574,-14.066224,-5.04
2015/1/20,-11.703156,-13.462464,-5.02
2015/1/21,-11.557222,-13.35321,-4.99
2015/1/22,-11.796906,-13.977326,-5.0
2015/1/23,-11.965698,-14.049592,-4.95
