Datetime,Strain1,Strain2,Strain3,Strain4
2014-12-25,-110.3810345,,-157.0237971,-120.3196884
2014-12-26,-108.0551184,-93.31969312,-156.6745004,-117.278506
2014-12-27,-108.8800912,-93.8203033,,
2014-12-28,-110.9251724,-93.68615182,,
2014-12-29,-114.0837864,,,-124.7056225
2014-12-30,-114.5519081,,,-125.6113899
2014-12-31,-112.9804347,-93.58865888,-153.5338978,
2015-01-01,-112.130029,,-155.0400241,
2015-01-02,-114.2357238,,,
2015-01-03,-115.3546395,,,-123.4678192
2015-01-04,,-96.07275554,,-127.3131086
2015-01-05,-118.4994555,,,-128.9404262
2015-01-06,,,-153.960419,
2015-01-07,,,-151.9850055,
2015-01-08,-111.2173824,,-154.746514,
2015-01-09,-114.6502865,,-155.0479404,
2015-01-10,,-94.27521497,,
2015-01-11,-113.6818874,-94.00294493,-152.1522628,-124.1345984
2015-01-12,-114.4624826,-93.95967922,-151.0567242,-123.8028386
2015-01-13,,-93.67630726,-150.2489194,
2015-01-14,-110.861285,-92.93192519,,
2015-01-15,-110.5460729,-94.46376289,,-120.3058314
2015-01-16,-112.5837906,-94.7086065,,-119.8189997
2015-01-17,,-94.96597968,-150.2233909,
2015-01-18,,,-151.4000421,
2015-01-19,,,,
2015-01-20,-114.8123844,-95.94578033,,
2015-01-21,-115.1756219,-95.56426607,,-125.8284027
2015-01-22,,-95.64222274,-153.5749136,
2015-01-23,-115.7920384,,,
2015-01-24,,-96.41007595,,-128.1431266
2015-01-25,,-95.35746152,,-126.9574254
2015-01-26,-112.1012154,-95.72966641,-151.9133754,
2015-01-27,-116.2970071,,-151.2234958,
2015-01-28,-114.4823384,,,
2015-01-29,-109.8200019,,-152.9482403,-115.2168311
2015-01-30,-110.3056102,-102.9955297,,-113.0792666
2015-01-31,-119.3547774,-104.855762,,
2015-02-01,-120.0865882,,-160.9465942,-122.179487
2015-02-02,-121.0619675,,,
2015-02-03,-124.316131,-109.6307058,,
2015-02-04,-126.1362946,,,-128.1739602
2015-02-05,-128.0261908,-110.2912997,-162.9346805,-130.7966776
2015-02-06,-129.9940285,-109.2322739,,
2015-02-07,-129.8213185,,-162.7180035,
2015-02-08,,-108.9132008,-162.6408096,
2015-02-09,-127.4649962,-108.4217268,-162.0782475,-134.0119492
2015-02-10,-128.3846907,-108.8835119,-163.5523414,-136.0281922
2015-02-11,-129.3993621,-107.9175871,-163.4668487,
2015-02-12,-127.7022041,,,
2015-02-13,,-104.566031,-157.5325452,-137.2530515
2015-02-14,-123.9412241,,,-136.7522182
2015-02-15,-118.9367265,,,
2015-02-16,-117.0078761,-99.78389708,,
2015-02-17,,-98.35197107,-139.303486,-127.992805
2015-02-18,,-97.56642577,,
2015-02-19,,-96.86883975,-138.2216608,-126.8138254
2015-02-20,-110.5653898,-96.52594941,,
2015-02-21,,,,-120.8624858
2015-02-22,,,,
2015-02-23,,-99.1813558,,
2015-02-24,,,,-125.2481202
2015-02-25,-116.8996098,,-136.4141954,
2015-02-26,-116.1990054,-101.7623192,,
2015-02-27,,,,-126.63455
2015-02-28,,,-131.7226932,
2015-03-01,-117.2907219,-105.4070146,,
2015-03-02,-125.035138,,,-131.7367353
2015-03-03,,,,-134.6268926
2015-03-04,-129.0165351,-107.0488574,,
2015-03-05,-128.3936814,,-146.5459366,
2015-03-06,,-108.474378,-147.5407763,-132.7388953
2015-03-07,-128.0833426,-109.4784371,-150.1504903,
2015-03-08,,,-150.2351194,
2015-03-09,-129.2849447,-108.3241455,-147.3612262,
2015-03-10,-129.0723406,-107.2468855,,
2015-03-11,,-107.2638562,-145.1262739,
2015-03-12,-127.0456722,,-145.9476786,-139.9735051
2015-03-13,-126.6897075,-106.4720825,-144.5523349,
2015-03-14,,,,-139.6119875
2015-03-15,-121.3718812,,-136.0168539,-138.2390386
2015-03-16,-118.2537897,,-130.3622705,-135.0231826
2015-03-17,,,,-134.270514
2015-03-18,,,,
2015-03-19,-111.0732813,-99.35905852,,
2015-03-20,,-101.0890225,,
2015-03-21,,,-116.937123,-130.644488
2015-03-22,,-102.3956571,,-133.7901088
2015-03-23,-115.9670631,,,-133.4162509
2015-03-24,,-98.82943131,,
2015-03-25,-113.2980348,-97.77900396,-116.247944,-131.5450106
2015-03-26,,-96.19687901,-116.9227408,-131.1883577
2015-03-27,,,,-126.953554
2015-03-28,-109.3563682,-94.73162262,,-129.0636645
2015-03-29,,,,-128.1335754
2015-03-30,,-91.46136679,,-125.3498066
2015-03-31,-103.4066895,-90.24108618,-92.61863307,
2015-04-01,,-88.55469683,,
2015-04-02,,-86.38969125,,-122.6874576
2015-04-03,,-86.72894067,-76.32093873,
2015-04-04,-96.5652682,,,
2015-04-05,,,-81.28119426,
2015-04-06,,,-86.43179542,
2015-04-07,-106.7625204,-96.44287131,-89.74708844,-127.2664899
2015-04-08,,,-95.19341801,-122.5568059
2015-04-09,-113.2159265,-101.9546893,-103.2780105,
2015-04-10,-116.9768209,-102.9082849,-108.0702548,
2015-04-11,-117.4154035,,-109.2471996,-139.9936627
2015-04-12,-117.016781,,-110.5467281,-142.1624691
2015-04-13,-114.5788461,,-112.0390276,
2015-04-14,,-100.3786609,-117.1343294,-139.8828825
2015-04-15,,-99.36322416,-119.8149847,
2015-04-16,,-97.56738846,,-135.7788271
2015-04-17,-107.8693232,,-107.1692229,
2015-04-18,,,,-131.6915611
2015-04-19,,,-88.61685882,-128.1084938
2015-04-20,-95.35172772,-86.75791999,,
2015-04-21,-97.70865331,,,-124.7683845
2015-04-22,-99.43561814,-88.40373325,,-126.8559335
2015-04-23,-98.20276556,-87.65793853,,-127.532072
2015-04-24,-97.1809949,-86.25451027,,-128.220048
2015-04-25,,,,-126.4996237
2015-04-26,,,-86.47336203,
2015-04-27,-91.66135609,,,
2015-04-28,-88.28143021,-79.10995429,,
2015-04-29,,-75.61913339,-72.29700123,
2015-04-30,,-74.07886265,-72.74743026,-119.9784715
2015-05-01,,,,-118.4978714
2015-05-02,,-70.8403187,,
2015-05-03,,,,-115.400818
2015-05-04,,,,-114.7677009
2015-05-05,-77.83067037,-71.00891088,,-115.9199441
2015-05-06,,,-63.52059974,-115.3591684
2015-05-07,-76.62984175,-70.0015101,,-116.9232888
2015-05-08,,,-57.25040338,
2015-05-09,,-68.80464991,,
2015-05-10,,-69.52482532,-56.7181007,-114.3343915
2015-05-11,,-68.56787689,-53.96646942,-113.4333141
2015-05-12,-74.38098295,-68.9726371,,-113.2737614
2015-05-13,-77.11233355,-70.1048908,,
